cities,methane,methane_end,methane_start,carbonmonoxide,carbonmonoxide_end,carbonmonoxide_start,ozone,ozone_end,ozone_start,nitrogendioxide,nitrogendioxide_end,nitrogendioxide_start
Tokyo,1915.947266,2020-10-20T05:47:07.273000Z,2020-10-20T05:47:07.273000Z,0.037202161,2021-03-14T04:28:33.471000Z,2021-03-14T04:28:33.471000Z,0.115707949,2020-10-21T05:28:21.895000Z,2020-10-21T05:28:21.895000Z,8.90E-05,2019-03-30T04:35:04.816000Z,2019-03-30T04:35:04.816000Z
Tokyo,1891.66626,2019-12-27T03:35:06.827000Z,2019-12-27T03:35:06.827000Z,0.035642765,2020-08-15T04:24:43.072000Z,2020-08-15T04:24:43.072000Z,0.155038357,2021-02-21T04:22:20.735000Z,2021-02-21T04:22:20.735000Z,0.000218235,2020-10-26T04:34:36.245000Z,2020-10-26T04:34:36.245000Z
Tokyo,1881.77063,2019-12-12T03:16:29.129000Z,2019-12-12T03:16:29.129000Z,0.039723232,2021-01-05T04:03:55.635000Z,2021-01-05T04:03:55.635000Z,0.119651176,2020-09-08T05:34:20.268000Z,2020-09-08T05:34:20.268000Z,7.29E-05,2019-10-27T05:18:49.839000Z,2019-10-27T05:18:49.839000Z
Tokyo,1907.252808,2020-11-15T04:59:48.451000Z,2020-11-15T04:59:48.451000Z,0.036185905,2020-11-16T04:40:59.134000Z,2020-11-16T04:40:59.134000Z,0.131640755,2019-11-11T04:37:55.350000Z,2019-11-11T02:57:45.364000Z,8.14E-05,2019-06-30T05:09:31.211000Z,2019-06-30T05:09:31.211000Z
Tokyo,1911.604004,2020-11-13T03:57:42.178000Z,2020-11-13T03:57:42.178000Z,0.037762295,2019-05-23T03:22:18.453000Z,2019-05-23T03:22:18.453000Z,0.120486151,2020-09-05T06:30:57.317000Z,2020-09-05T04:50:59.574000Z,4.56E-05,2019-08-25T05:59:33.427000Z,2019-08-25T05:59:33.427000Z
Tokyo,1897.999268,2019-10-13T03:41:03.722000Z,2019-10-13T03:41:03.722000Z,0.043905601,2020-02-08T03:28:55.639000Z,2020-02-08T03:28:55.639000Z,0.166230008,2021-03-14T04:28:30.112000Z,2021-03-14T04:28:30.112000Z,0.000171867,2019-12-05T04:47:30.269000Z,2019-12-05T04:47:30.269000Z
Tokyo,1871.747803,2019-11-10T03:16:21.620000Z,2019-11-10T03:16:21.620000Z,0.030553821,2019-11-24T03:53:46.217000Z,2019-11-24T03:53:46.217000Z,0.127054192,2020-08-15T04:24:38.873000Z,2020-08-15T02:44:51.932000Z,0.000192368,2020-07-22T05:34:31.065000Z,2020-07-22T05:34:31.065000Z
Tokyo,1885.047607,2021-02-09T04:47:20.809000Z,2021-02-09T04:47:20.809000Z,0.046724919,2021-01-07T05:06:13.521000Z,2021-01-07T05:06:13.521000Z,0.147654086,2021-05-14T04:44:55.757000Z,2021-05-14T04:44:55.757000Z,0.000174794,2020-01-25T05:31:46.783000Z,2020-01-25T03:51:45.798000Z
Tokyo,1866.261841,2019-02-21T03:29:02.944000Z,2019-02-21T03:29:02.944000Z,0.03782915,2020-02-09T03:10:20.315000Z,2020-02-09T03:10:20.315000Z,0.132077262,2021-01-05T04:03:48.916000Z,2021-01-05T04:03:48.916000Z,4.25E-05,2019-04-02T06:19:00.456000Z,2019-04-02T06:19:00.456000Z
Tokyo,1885.956665,2019-12-01T03:22:39.867000Z,2019-12-01T03:22:39.867000Z,0.0438063,2019-04-04T03:41:17.652000Z,2019-04-04T03:41:17.652000Z,0.126365185,2020-11-16T04:40:56.615000Z,2020-11-16T04:40:56.615000Z,0.000233304,2021-04-08T05:59:40.888000Z,2021-04-08T05:59:40.888000Z
